Alabama,4910,54462,256,72,Southern,
Alaska,676,5260,67,10,Western,
Arizona,9927,72533,275,65,Western,
Arkansas,3755,47899,278,40,Southwestern,
California,110411,793695,1719,678,Western,423174
Colorado,13159,91101,308,59,Western,
Connecticut,11453,70423,188,75,New England,
Delaware,1874,13361,38,23,Middle States,
District of Columbia,1718,12532,36,23,Middle States,
Florida,52196,394624,656,490,Southern,217393
Georgia,28272,175394,418,208,Southern,
Hawaii,1812,16022,51,34,Western,
Idaho,1765,13984,98,17,Western,
Illinois,35032,234674,523,161,Midwestern,128748
Indiana,10309,88555,343,78,Midwestern,
Iowa,2767,21111,186,35,Midwestern,
Kansas,2284,16378,99,24,Midwestern,
Kentucky,7329,54791,207,56,Southern,
Louisiana,3578,37544,207,73,Southern,
Maine,1851,15056,105,30,New England,
Maryland,21408,123872,216,143,Middle States,
Massachusetts,19519,125437,333,127,New England,66820
Michigan,16267,110149,530,130,Midwestern,
Minnesota,11897,74291,248,66,Midwestern,
Mississippi,1155,15882,151,38,Southern,
Missouri,6716,47277,242,80,Midwestern,
Montana,715,5706,81,19,Western,
Nebraska,1869,15506,70,28,Midwestern,
Nevada,4428,39223,101,22,Western,
New Hampshire,1736,12697,82,29,New England,
New Jersey,25527,159398,406,161,Middle States,
New Mexico,1307,17430,113,19,Southwestern,
New York,45598,319337,1159,346,Middle States,179974
North Carolina,21314,152602,486,144,Southern,
North Dakota,516,5053,47,9,Midwestern,
Ohio,19703,128221,593,162,Midwestern,
Oklahoma,3131,30559,271,29,Southwestern,
Oregon,4598,35521,179,50,Western,
Pennsylvania,21557,138647,575,211,Middle States,
Rhode Island,1806,14896,51,21,New England,
South Carolina,8434,57895,213,75,Southern,
South Dakota,699,4895,55,11,Midwestern,
Tennessee,9019,68620,275,107,Southern,
Texas,66067,598008,1552,327,Southwestern,325088
Utah,6599,45542,160,47,Western,
Vermont,890,6555,54,13,New England,
Virginia,26054,159084,326,168,Southern,
Washington,14237,92346,342,96,Western,
West Virginia,1269,12895,109,18,Midwestern,
Wisconsin,12095,79817,413,92,Midwestern,
Wyoming,375,3387,33,3,Western,