California,UNIV CALIF LOS ANGELES,8142,20543
California,UNIVERSITY CALIFORNIA IRVINE,6613,16204
California,UNIV CALIF BERKELEY,5637,15651
Florida,UNIVERSITY OF FLORIDA,9699,25410
Florida,UNIV CENTRAL FLORIDA,8789,19042
Florida,FLORIDA STATE UNIVERSITY,6688,15101
Illinois,UNIV ILLINOIS URB/CHAM,5924,14594
Illinois,UNIV ILLINOIS CHICAGO,3278,6889
Illinois,ILLINOIS STATE UNIVERSITY,1866,3113
Massachusetts,UNIV MASSACHUSETTS AMHERST,2404,5608
Massachusetts,UNIVERSITY OF MASSACHUSETTS,858,1671
Massachusetts,NORTHEASTERN UNIVERSITY,596,1813
New York,UNIVERSITY AT BUFFALO (SUNY),1534,3119
New York,STONY BROOK UNIVERSITY SUNY,1500,3859
New York,SUNY BINGHAMTON,1324,3251
Texas,UNIVERSITY OF TEXAS AT AUSTIN,11817,30385
Texas,TEXAS A&M UNIVERSITY COLL STA,11078,26636
Texas,UNIVERSITY OF HOUSTON,3807,9065